skill,salary
Kubernetes,85000
Kubernetes,85000
Kubernetes,86002
Kubernetes,87000
Kubernetes,87000
Kubernetes,87000
Kubernetes,87000
Kubernetes,88254
Kubernetes,94649
Kubernetes,95000
Kubernetes,95000
Kubernetes,100000
Kubernetes,100000
Kubernetes,100000
Kubernetes,100000
Kubernetes,100000
Kubernetes,100000
Kubernetes,100000
Kubernetes,100000
Kubernetes,100176
Kubernetes,102000
Kubernetes,105000
Kubernetes,105000
Kubernetes,105000
Kubernetes,105000
Kubernetes,105000
Kubernetes,105000
Kubernetes,105000
Kubernetes,105000
Kubernetes,105000
Kubernetes,105000
Kubernetes,105000
Kubernetes,105000
Kubernetes,105000
Kubernetes,105000
Kubernetes,105000
Kubernetes,105000
Kubernetes,105000
Kubernetes,105000
Kubernetes,105000
Kubernetes,105000
Kubernetes,105473
Kubernetes,106000
Kubernetes,106030
Kubernetes,107100
Kubernetes,108255
Kubernetes,109762
Kubernetes,109762
Kubernetes,110000
Kubernetes,110000
Kubernetes,110000
Kubernetes,110000
Kubernetes,110000
Kubernetes,110000
Kubernetes,110000
Kubernetes,110000
Kubernetes,110000
Kubernetes,110000
Kubernetes,110000
Kubernetes,110000
Kubernetes,110000
Kubernetes,110000
Kubernetes,110000
Kubernetes,110000
Kubernetes,110000
Kubernetes,110000
Kubernetes,110000
Kubernetes,110000
Kubernetes,110000
Kubernetes,110000
Kubernetes,110000
Kubernetes,110000
Kubernetes,110000
Kubernetes,110000
Kubernetes,110000
Kubernetes,110000
Kubernetes,110000
Kubernetes,110000
Kubernetes,110000
Kubernetes,110250
Kubernetes,112000
Kubernetes,112200
Kubernetes,112500
Kubernetes,112500
Kubernetes,113835
Kubernetes,115000
Kubernetes,115000
Kubernetes,115000
Kubernetes,115000
Kubernetes,115000
Kubernetes,115000
Kubernetes,115000
Kubernetes,115000
Kubernetes,115000
Kubernetes,115000
Kubernetes,115000
Kubernetes,116078
Kubernetes,116550
Kubernetes,116558
Kubernetes,116600
Kubernetes,116600
Kubernetes,116600
Kubernetes,118000
Kubernetes,118000
Kubernetes,118217
Kubernetes,120000
Kubernetes,122317
Kubernetes,122317
Kubernetes,125000
Kubernetes,125000
Kubernetes,128500
Kubernetes,130769
Kubernetes,131285
Kubernetes,84184
Kubernetes,85000
